Judges,Tables,Occasions,Sessions,Glasses,Plots,WineReps,Bottles,Treatments,Riesling,Sultana,Shiraz,Mataro
4,4,1,1,1,1,1,1,1,14,13,14,11
4,4,1,1,2,1,2,1,1,14,14.5,12.5,10
4,4,1,1,3,1,3,1,1,15.5,15,14.5,14
4,4,1,1,4,2,1,1,2,18,15,14,15
4,4,1,1,5,2,2,1,2,11.5,14,12.5,11.5
4,4,1,1,6,2,3,1,2,15,15.5,12,13.5
4,4,1,1,7,3,1,1,3,14,11,14,10
4,4,1,1,8,3,2,1,3,14,13,11.5,10
4,4,1,1,9,3,3,1,3,17,13,15.5,11.5
4,4,1,1,10,4,1,1,4,14,15.5,15,13
4,4,1,1,11,4,2,1,4,15.5,14,13.5,14
4,4,1,1,12,4,3,1,4,14.5,14.5,15,9
4,4,1,2,1,1,1,2,1,14.5,12.5,13.5,10
4,4,1,2,2,1,2,2,1,12,14,11.5,10
4,4,1,2,3,1,3,2,1,16.5,12.5,15,12.5
4,4,1,2,4,2,1,2,2,14.5,16.5,14,12
4,4,1,2,5,2,2,2,2,13.5,12.5,11.5,13
4,4,1,2,6,2,3,2,2,15.5,15.5,14,12.5
4,4,1,2,7,3,1,2,3,15,10.5,11.5,10.5
4,4,1,2,8,3,2,2,3,14,14.5,12,14.5
4,4,1,2,9,3,3,2,3,15,12,15,13
4,4,1,2,10,4,1,2,4,13,15.5,14.5,12
4,4,1,2,11,4,2,2,4,17.5,12,13,14
4,4,1,2,12,4,3,2,4,14.5,15,15.5,9
4,4,2,1,1,1,1,1,1,10,13,12.5,11
4,4,2,1,2,1,2,1,1,12,15.5,11.5,16
4,4,2,1,3,1,3,1,1,15,12.5,14,15.5
4,4,2,1,4,2,1,1,2,15.5,15,15.5,14
4,4,2,1,5,2,2,1,2,13.5,11.5,11,14.5
4,4,2,1,6,2,3,1,2,14.5,16,12,14
4,4,2,1,7,3,1,1,3,14,13.5,11.5,13.5
4,4,2,1,8,3,2,1,3,13.5,13,11.5,13
